,BLA,BLP,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,LU,SBLU,SLR
458,4,3,8,4,8,8,3,5,9,4,7,8,8,3,2,1,35,0
459,4,4,8,4,8,8,3,5,8,3,7,8,8,3,2,1,4,3
460,4,4,8,3,8,8,3,5,9,4,8,8,6,3,3,1,4,3
461,4,3,6,3,8,8,3,4,9,1,7,8,7,3,3,1,35,0
462,2,2,8,3,8,8,3,5,9,4,6,8,6,3,4,1,35,0
463,5,5,3,7,4,6,0,0,4,0,2,6,4,0,5,1,47,6
464,5,5,3,3,2,2,0,0,4,0,5,3,2,0,7,1,5,6
465,1,1,8,2,8,8,2,5,9,3,7,8,6,3,8,1,4,2
466,2,3,7,2,8,8,2,4,8,3,8,8,6,3,6,1,42,6
467,3,3,4,1,7,6,1,2,8,0,8,6,5,3,5,1,42,1
468,4,3,8,4,8,8,2,5,8,3,6,8,8,3,0,1,35,0
469,2,3,7,2,8,7,1,5,8,1,7,7,6,3,7,1,42,6
470,2,2,7,1,8,6,1,5,9,0,8,5,5,3,3,1,35,0
471,1,0,1,2,1,3,0,0,1,0,2,2,6,0,5,1,42,8
472,1,1,1,3,2,7,0,0,2,0,3,5,7,0,4,1,42,8
473,2,2,3,2,8,8,0,0,6,0,8,8,6,0,3,1,35,0
474,3,3,8,3,8,8,2,5,9,4,8,8,6,3,0,1,42,1
475,2,2,7,2,8,8,2,5,9,1,8,7,6,3,7,1,42,7
476,3,3,6,1,8,7,1,5,9,3,8,7,5,3,6,1,42,14
477,2,2,6,2,8,8,2,4,9,3,8,7,6,3,5,1,42,14
478,2,2,7,2,8,5,1,5,9,0,7,6,6,3,4,1,42,14
479,7,6,4,7,5,6,3,1,3,1,4,7,2,3,2,1,11,7
480,5,5,8,3,7,8,2,5,8,4,8,7,7,3,0,1,42,7
481,7,7,8,4,8,6,3,5,9,4,8,2,4,3,1,1,57,7
482,2,2,8,3,8,8,3,5,9,4,7,8,6,3,2,1,50,6
483,6,6,5,3,7,8,1,3,6,0,8,7,7,3,4,1,43,6
484,2,2,8,4,8,8,3,5,9,4,6,8,7,3,5,1,42,14
485,2,2,7,3,7,8,2,4,8,4,6,8,6,3,3,1,42,14
486,3,3,8,5,8,8,4,5,9,4,5,8,5,3,2,1,42,14
487,4,4,7,4,8,8,3,5,8,3,7,8,8,3,0,1,4,7
488,2,2,8,2,8,7,2,5,9,3,7,7,6,3,2,1,50,22
489,3,4,8,5,7,5,4,3,8,4,1,5,8,3,6,1,35,7
490,2,1,6,4,8,8,3,3,7,3,4,8,8,3,5,1,42,14
491,2,1,6,2,8,7,2,4,9,2,7,7,6,3,3,1,42,8
492,3,3,5,2,8,8,1,3,7,0,8,8,6,3,2,1,42,8
493,3,3,7,4,7,4,4,4,9,4,2,5,8,3,0,1,42,1
494,5,5,8,3,7,2,2,5,9,2,5,3,6,3,3,1,43,13
495,2,4,7,3,8,7,2,5,9,4,6,6,6,3,5,1,5,13
496,3,3,7,3,8,8,3,5,9,2,7,8,7,3,6,1,42,14
497,2,2,6,2,7,4,2,5,8,1,4,4,6,3,4,1,42,8
498,3,3,8,3,8,6,3,4,8,4,5,6,7,3,2,1,42,8
499,2,2,6,2,7,8,2,4,8,1,7,8,6,3,1,1,42,8
500,2,1,8,3,8,8,1,5,7,0,5,6,6,3,0,1,35,1
501,5,6,5,4,7,5,3,2,7,2,7,4,7,3,3,1,43,22
502,1,1,8,1,8,7,1,5,9,0,8,7,5,3,5,1,5,13
503,4,3,8,2,8,8,2,4,9,4,8,8,6,3,5,1,1,13
504,4,3,8,2,8,6,2,5,9,3,8,5,6,3,2,1,35,6
505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,35,6
506,3,3,7,2,8,7,2,5,9,3,8,8,6,3,4,1,35,1
507,5,4,7,3,8,6,3,5,9,3,8,6,6,3,5,1,1,8
508,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,13,11
509,8,7,5,4,7,7,3,3,7,2,8,4,4,2,4,1,1,11
510,4,3,8,2,8,6,2,5,9,4,8,5,6,3,3,1,1,4
511,3,3,8,3,8,7,2,5,9,4,5,7,7,3,4,1,42,3
512,3,2,7,2,8,8,2,5,9,2,8,8,6,3,5,1,35,10
513,2,2,7,2,8,8,2,5,9,2,8,8,6,3,6,1,13,10
514,4,5,7,2,8,6,2,5,9,3,8,7,6,3,8,1,29,2
515,2,2,8,3,8,8,3,5,9,4,8,8,7,3,5,1,35,3
516,5,5,8,4,8,6,3,5,9,4,6,4,8,3,5,1,13,4
517,3,3,8,2,8,8,2,5,9,4,8,8,6,3,6,1,35,3
518,6,6,3,8,3,7,0,0,2,0,2,7,3,0,7,1,13,10
519,3,2,8,2,8,6,2,5,9,2,7,5,6,3,7,1,53,4
520,2,2,2,4,2,5,0,0,2,0,2,5,8,0,7,1,50,3
521,3,3,8,4,8,8,3,5,9,4,6,8,7,3,8,1,16,6
522,4,4,5,2,7,5,1,3,7,0,8,3,6,3,8,1,50,7
523,3,2,8,3,8,7,2,5,9,4,7,7,6,3,9,1,53,7
524,1,1,5,3,8,8,1,3,6,0,7,8,6,3,9,1,53,1
525,1,1,0,0,0,0,0,0,7,0,0,0,0,0,8,3,4,3
526,0,1,0,0,0,0,0,0,8,0,0,0,0,0,7,3,13,13
527,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,3,4,9
528,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,3,4,8
529,8,7,0,0,0,0,0,0,5,0,0,0,0,0,2,3,1,3
530,0,1,0,0,0,0,0,0,3,0,0,0,0,0,7,3,42,6
531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,42,13
532,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,3,42,8
533,1,1,0,0,0,0,0,0,2,0,0,0,0,0,5,3,42,8
534,3,5,0,0,0,0,0,0,5,0,0,0,0,0,1,3,11,7
535,8,7,0,0,0,0,0,0,3,0,0,0,0,0,0,3,42,7
536,2,4,0,0,0,0,0,0,6,0,0,0,0,0,5,3,5,6
537,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,42,14
538,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,42,6
539,1,2,0,0,0,0,0,0,8,0,0,0,0,0,4,3,5,13
540,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,42,14
541,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,42,8
542,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,0
543,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,3,57,16
544,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,3,42,23
545,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,15
546,8,8,0,0,0,0,0,0,1,0,0,0,0,0,1,3,22,20
547,8,8,0,0,0,0,0,0,2,0,0,0,0,0,1,3,22,25
548,8,8,0,0,0,0,0,0,2,0,0,0,0,0,2,3,4,18
549,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,22,2
550,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,22,2
551,8,7,0,0,0,0,0,0,3,0,0,0,0,0,7,3,22,11
552,7,7,0,0,0,0,0,0,4,0,0,0,0,0,8,3,22,6
553,4,8,0,0,0,0,0,0,6,0,0,0,0,0,9,3,29,1
